"RESULT","TARGET_LOC","TARGET_TXT","SOURCE_LOC","SOURCE_TXT","SHARED","SCORE"
175,"luc. 7.494","**Vixque** **habitura** locum dextras ac tela movendi,","ov. medic. 26","Et **vix** ad cultus nupta, quod addat, **habet**.","uix; habeo",6
176,"luc. 6.544","Ore **suo** rupit: **pendentia** corpora carpsit,","ov. medic. 50","Perque **suos** annos hinc bene **pendet** amor. ","suus; pendeo-pendo",6
177,"luc. 3.570","Ensis agit. Stat quisque **suae** **de** robore puppis","ov. medic. 54","Exue **de** palea tegminibusque **suis**.","suus; de",6
178,"luc. 6.624","**Dixerat**: et noctis geminatis **arte** tenebris,","ov. medic. 51","**Dic** age, cum teneros somnus dimiserit **artus**,","artus; dico",6
179,"luc. 9.81","Hunc **volumus**, quem Nilus **habet**, terraeque nocenti","ov. medic. 20","Conspicuam gemmis **vultis** **habere** manum:","uolo; habeo",5
180,"luc. 9.757","Aequoreusque **placet**, sed non **sibi** sufficit, humor.","ov. medic. 31","Est etiam **placuisse** **sibi** cuicumque voluptas;","sui; placeo",5
181,"luc. 9.732","Nec tutus spatio est elephas: **datis** **omnia** leto:","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
182,"luc. 9.157","**Omnia** **dent** poenas nudo tibi, Magne, sepulchra:","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
183,"luc. 1.349","**Omnia** **dat**, qui iusta negat. Nec numina deerunt:","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
184,"luc. 9.680","**Ora** rear! **quantumque** oculos effundere mortis!","ov. medic. 22","Et **quantos** onus est **aure** tulisse duos.","quantus; aurum",5
185,"luc. 5.468","**Hoc** fortuna loco **tantae** duo nomina famae","ov. medic. 66","**Huc** novies **tanto** plus tibi mellis eat.","tantus; huc",5
186,"luc. 8.258","**Parva** puppe fugit: sequitur **pars** magna senatus","ov. medic. 87","**Parte** **minus** quarta dereptum cortice gummi,","paruus; pars",5
187,"luc. 2.611","Quos profugos **Creta** vexere **per** aequora puppes","ov. medic. 89","Haec ubi contrieris, **per** densa foramina **cerne**:","cerno; per",5
188,"luc. 1.132","**Multa** dare in vulgus; **totus** popularibus **auris**","ov. medic. 98","Haerebit **toto** **multus** in **ore** color.","multus; totus; aurum",5
189,"luc. 6.547","Insertum **manibus** chalybem, nigramque per **artus**","ov. medic. 36","Quas maga terribili subsecat **arte** **manus**.","artus; manus",5
190,"luc. 2.158","Exstruit **ipse** **sui**, necdum omni sanguine fuso","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suo-suus; ipse",5
191,"luc. 1.179","**Ipse** **sui** populus; letalisque ambitus urbi,","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suo-suus; ipse",5
192,"luc. 9.960","Euxinumque **ferens** parvo ruat **ore** Propontis.","ov. medic. 22","Et quantos onus est **aure** **tulisse** duos.","fero; aurum",5
193,"luc. 3.89","Arctoi toto non **visam** **tempore** belli:","ov. medic. 47","**Tempus** erit, quo vos speculum **vidisse** pigebit,","uideo; tempus",5
194,"luc. 6.267","Montis adest, seramque **sibi** **parat** unda ruinam.","ov. medic. 27","**Se** **sibi** quaeque **parant**, nec quos venentur amores","sui; paro-pasco",5
195,"luc. 10.27","Editus exemplum, **terras** tot posse **sub** uno","ov. medic. 8","Nigra **sub** imposito marmore **terra** latet:","sub; terra",5
196,"luc. 10.380","Quid **liceat** nobis: tumulumque e pulvere **parvo**","ov. medic. 97","Tempore sint **parvo** molli **licet** illita vultu,","paruus; licet",5
197,"luc. 3.680","Nulla tamen **plures** **hoc** edidit aequore clades,","ov. medic. 66","**Huc** novies tanto **plus** tibi mellis eat.","multus; huc",5
198,"luc. 5.177","**Quantum** scire, licet. Venit aetas omnis in **unam**","ov. medic. 93","Arentisque rosae **quantum** manus **una** prehendat,","quantum-quantus; unus",5
199,"luc. 10.531","Auspiciis Ganymedis **eunt**: ac **multa** secundo","ov. medic. 66","Huc novies tanto **plus** tibi mellis **eat**.","multus; eo",5
200,"luc. 7.697","Ostendit moriens, **sibi** **se** pugnasse, senatus.","ov. medic. 27","**Se** **sibi** quaeque parant, nec quos venentur amores","sui",5
201,"luc. 2.323","Ne **sibi** **se** vicisse putet. Sic fatur, et acres","ov. medic. 27","**Se** **sibi** quaeque parant, nec quos venentur amores","sui",5
202,"luc. 1.127","Scire nefas: magno **se** iudice **quisque** tuetur:","ov. medic. 27","**Se** **sibi** **quaeque** parant, nec quos venentur amores","sui; quisque",5
203,"luc. 9.1029","Reddiderat. Quid **plura** feram? tu nomina **tanto**","ov. medic. 66","Huc novies **tanto** **plus** tibi mellis eat.","multus; tanto-tantus",5
204,"luc. 10.461","Non sine rege **tamen**; quem ducit in **omnia** secum,","ov. medic. 84","Non **tamen** accensis **omnia** danda focis.","tamen; omnis",5
205,"luc. 8.467","**Tempus** erat, **quo** Libra pares examinat horas,","ov. medic. 47","**Tempus** erit, **quo** vos speculum vidisse pigebit,","quo; tempus",5
206,"luc. 2.256","**Per** se bella placent?  Quid tot durasse **per** **annos**","ov. medic. 50","**Perque** suos **annos** hinc bene pendet amor. ","annus; per",5
207,"luc. 4.574","**Ore** ratem **totum** discurrens fama per orbem.","ov. medic. 98","Haerebit **toto** multus in **ore** color.","aurum-os; totus",5
208,"luc. 6.552","**Vult** ferro **manibusque** suis, morsusque luporum","ov. medic. 20","Conspicuam gemmis **vultis** habere **manum**:","uolo; manus",5
209,"luc. 10.96","Adfectus ensesque **suos**. Nil **ipsa** paterni","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suus; ipse",5
210,"luc. 9.587","**Ipse** manu **sua** pila gerens, praecedit anheli","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suus; ipse",5
211,"luc. 8.17","Adtoniti: cladisque **suae** vix **ipse** fidelis","ov. medic. 68","Fulgebit speculo levior **ipsa** **suo**.","suus; ipse",5
212,"luc. 5.707","Permixtas **habuere** diu: latumque per **aequor**,","ov. medic. 71","Utraque sex **habeant** **aequo** discrimine libras,","aequo; habeo",5
213,"luc. 2.379","Sunt tentata tori: iusto **quoque** robur **amori**","ov. medic. 27","Se sibi **quaeque** parant, nec quos venentur **amores**","amor; quisque",5
214,"luc. 5.409","Turpe duci **visum**, rapiendi **tempora** belli","ov. medic. 47","**Tempus** erit, quo vos speculum **vidisse** pigebit,","uideo; tempus",5
215,"luc. 9.34","Quis ratibus **tantis** fugientia crederet **ire**","ov. medic. 66","Huc novies **tanto** plus tibi mellis **eat**.","tantus; eo",5
216,"luc. 3.41","**Ibat**, et igniferi **tantum** demerserat orbis,","ov. medic. 66","Huc novies **tanto** plus tibi mellis **eat**.","tantus; eo",5
217,"luc. 7.538","Hic numerus **totos** tibi vestiat **ossibus** agros:","ov. medic. 98","Haerebit **toto** multus in **ore** color.","totus; os",5
218,"luc. 7.406","Cladis **eo** dedimus, ne **tanto** in tempore bellum","ov. medic. 66","Huc novies **tanto** plus tibi mellis **eat**.","eo; tanto-tantus",5
219,"luc. 5.90","Conscius, ac populis **sese** proferre **paratus**,","ov. medic. 27","**Se** **sibi** quaeque **parant**, nec quos venentur amores","sui; paro",5
220,"luc. 10.232","**Sub** torrente plaga, ne **terras** dissipet ignis,","ov. medic. 8","Nigra **sub** imposito marmore **terra** latet:","sub; terra",5
221,"luc. 6.246","**Quam** mihi mortis **amor**. Simul haec effatur, et altus","ov. medic. 35","Sic potius vos urget **amor** **quam** fortibus herbis,","amo-amor; quam",5
222,"luc. 2.584","**Terra** meis, quocumque iacet **sub** sole, tropaeis.","ov. medic. 8","Nigra **sub** imposito marmore **terra** latet:","sub; terra",5
223,"luc. 1.61","Inque vicem gens omnis **amet**: Pax missa **per** orbem","ov. medic. 50","**Perque** suos annos hinc bene pendet **amor**. ","amo; per",5
224,"luc. 7.609","Spiritus in **vocem**, morientiaque **ora** resolvit:","ov. medic. 78","**Ore** fugant maculas: alcyonea **vocant**. ","aurum-os; uoco",5
225,"luc. 10.414","Ausa foret Lagea domus? **Dat** scilicet **omnis**","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
226,"luc. 8.333","Emathiam lis tanta **datur**? iacet **omne** cruenti","ov. medic. 84","Non tamen accensis **omnia** **danda** focis.","do; omnis",5
227,"luc. 8.385","Ensis **habet** vires, et gens quaecumque **virorum** est,","ov. medic. 24","Cum comptos **habeant** saecula nostra **viros**. ","uir; habeo",5
228,"luc. 9.211","Scire **mori**, sors **prima** viris, sed proxima cogi.","ov. medic. 43","**Prima** sit in vobis **morum** tutela, puellae.","primus; morum-morus-mos",5
229,"luc. 1.495","Nutantes **pendere** domos: sic turba **per** urbem","ov. medic. 50","**Perque** suos annos hinc bene **pendet** amor. ","pendeo-pendo; per",5
230,"luc. 3.668","A manibus cecidere **suis**: non amplius **undae**","ov. medic. 40","Nec redit in fontes **unda** supina **suos**;","suus; unda",5
231,"luc. 3.488","**Sub** cuius pluteis et tecta fronte **latentes**","ov. medic. 8","Nigra **sub** imposito marmore terra **latet**:","sub; lateo",5
232,"luc. 5.302","Fortunamque **suam** **per** summa pericula gaudens","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
233,"luc. 4.718","Obscuratque **suam** **per** iussa silentia famam,","ov. medic. 50","**Perque** **suos** annos hinc bene pendet amor. ","suus; per",5
234,"luc. 2.75","Poenas ante **dabat** scelerum. Mors **ipsa** refugit","ov. medic. 16","**Ipsa** **dabat** virgas caesaque ligna foco.","do; ipse",5
235,"luc. 2.263","Nec **tanta** in casum virtus **eat**. Ingeret omnis","ov. medic. 66","Huc novies **tanto** plus tibi mellis **eat**.","tantus; eo",5
